ilkid,firstname,lastname,leag,Season_Effic,Season_FG_rate,Season_FT_rate,Season_PTS_rate,Playoffs_Effic,Playoffs_FG_rate,Playoffs_FT_rate,Playoffs_PTS_rate
GRAHAOR01,Orlando,Graham,N,1.1428571428571428,0.3,0.5,0.36363636363636365,0.5,0.5,0.5,0.375
GRAHAPA01,Paul,Graham,N,8.30167597765363,0.44803695150115475,0.7389937106918238,0.44692903995229577,2.0,0.3,0.0,0.20689655172413793
GRANDRO01,Ron,Grandison,N,2.895238095238095,0.40384615384615385,0.7130434782608696,0.29128440366972475,-0.5,0.0,0.0,0.0
GRANTBR01,Brian,Grant,N,14.092517006802721,0.49082495611935534,0.7458659704090513,0.37189965512354134,12.39622641509434,0.4661458333333333,0.6666666666666666,0.30569948186528495
GRANTGA01,Gary,Grant,N,10.603260869565217,0.4502415458937198,0.7763532763532763,0.34661164894461194,3.9411764705882355,0.36363636363636365,0.6666666666666666,0.248868778280543
GRANTGR01,Greg,Grant,N,4.226277372262774,0.3829268292682927,0.7101449275362319,0.22895522388059703,2.6,0.34615384615384615,1.0,0.31343283582089554
GRANTHA01,Harvey,Grant,N,10.89655172413793,0.4686186606892687,0.7085635359116023,0.3793759141882009,3.5833333333333335,0.42138364779874216,0.5405405405405406,0.387409200968523
GRANTHO01,Horace,Grant,N,16.991416309012877,0.508555399719495,0.6924336717982312,0.33648344250834994,17.958823529411763,0.5300067430883345,0.7136752136752137,0.30897602073882047
GRANTJO01,Josh,Grant,N,3.2452830188679247,0.4041095890410959,0.7586206896551724,0.4109947643979058,0.0,0.0,0.0,0.0
GRANTTR01,Travis,Grant,A,14.351190476190476,0.528724894908921,0.8068669527896996,0.6357074109720885,-1.0,0.0,0.0,0.0
GRANTTR01,Travis,Grant,N,1.9393939393939394,0.4396551724137931,0.8846153846153846,0.8169934640522876,3.0,0.6666666666666666,0.0,0.7272727272727273
GRAYED01,Ed,Gray,N,3.316666666666667,0.3385416666666667,0.8137254901960784,0.4610630407911001,4.375,0.36585365853658536,0.9090909090909091,0.6197183098591549
GRAYEJE01,Jeff,Grayer,N,7.237442922374429,0.4567521367521368,0.6634499396863691,0.3935000604083605,3.9,0.48484848484848486,0.7777777777777778,0.4105263157894737
GRAYLE01,Leonard,Gray,N,13.683035714285714,0.4690346083788707,0.7388535031847133,0.3974909210960713,3.764705882352941,0.44554455445544555,0.8461538461538461,0.32063492063492066
GRAYST01,Stuart,Gray,N,3.8626943005181347,0.44591029023746703,0.6628242074927954,0.2620769453283194,1.8571428571428572,0.3333333333333333,0.5,0.23076923076923078
GREACBO01,Bob,Greacen,N,1.4186046511627908,0.371900826446281,0.6,0.33134328358208953,0.75,0.3333333333333333,0.8,0.5833333333333334
GREENAC01,A.c.,Green,N,13.73943661971831,0.49380569441425776,0.7338823529411764,0.3373273150047873,11.793103448275861,0.44696969696969696,0.735191637630662,0.3048245614035088
GREENDA01,David,Greenwood,N,14.913730255164033,0.4772460364063417,0.7645186953062848,0.36063329054343174,11.318181818181818,0.5570469798657718,0.5833333333333334,0.3475836431226766
GREENJO01,Johnny,Green,N,6.358561967833491,0.49281538004162123,0.5525319451017511,0.4987410656270305,4.55,0.5826086956521739,0.43333333333333335,0.4456824512534819
GREENLA01,Lamar,Green,N,3.869565217391304,0.43383199079401613,0.6592920353982301,0.2928015564202335,0.0,0.2857142857142857,0.4,0.2608695652173913
GREENLU01,Luther,Green,A,1.2470588235294118,0.3938618925831202,0.5177304964539007,0.4219269102990033,1.7142857142857142,0.3793103448275862,0.6666666666666666,0.3902439024390244
GREENMI01,Mike,Green,A,18.172897196261683,0.4933969185619956,0.7517146776406035,0.5467589466576638,13.076923076923077,0.49557522123893805,0.8833333333333333,0.5687885010266941
GREENMI01,Mike,Green,N,11.661224489795918,0.46017699115044247,0.7069271758436945,0.38114602587800367,8.1,0.4418604651162791,0.7419354838709677,0.33396946564885494
GREENRI01,Rickey,Green,N,11.90169133192389,0.46863997913678446,0.8073710073710074,0.38116110180052426,11.054545454545455,0.4549763033175355,0.8468468468468469,0.3803921568627451
